Saturday , S600,4100,600 - 31,21:41,Wilburton Station,East,99560
Saturday , S600,4100,600 - 31,21:43,Spring District Station,East,99562
Saturday , S600,4100,600 - 31,21:45,BelRed Station,East,99564
Saturday , S600,4100,600 - 31,21:49,Overlake Village Station,East,99566
Saturday , S600,4100,600 - 31,21:52,Redmond Technology Station,East,99568
Saturday ,,352,600 - 32, 5:24   ,East Link Base,,92015
Saturday ,,352,600 - 32, 5:26   ,Wilburton Station,,99561
Saturday , S600,3008,600 - 32, 6:15   ,Redmond Technology Station,West,99569
Saturday , S600,3008,600 - 32, 6:17   ,Overlake Village Station,West,99567
Saturday , S600,3008,600 - 32, 6:22   ,BelRed Station,West,99565
Saturday , S600,3008,600 - 32, 6:24   ,Spring District Station,West,99563
Saturday , S600,3008,600 - 32, 6:26   ,Wilburton Station,West,99561
Saturday , S600,3008,600 - 32, 6:28   ,Bellevue Downtown Station,West,99559
Saturday , S600,3008,600 - 32, 6:32   ,East Main Station,West,99557
Saturday , S600,3008,600 - 32, 6:35   ,South Bellevue Station,West,99554
Saturday , S600,3014,600 - 32, 7:15   ,Redmond Technology Station,West,99569
Saturday , S600,3014,600 - 32, 7:17   ,Overlake Village Station,West,99567
Saturday , S600,3014,600 - 32, 7:22   ,BelRed Station,West,99565
Saturday , S600,3014,600 - 32, 7:24   ,Spring District Station,West,99563
Saturday , S600,3014,600 - 32, 7:26   ,Wilburton Station,West,99561
Saturday , S600,3014,600 - 32, 7:28   ,Bellevue Downtown Station,West,99559
Saturday , S600,3014,600 - 32, 7:32   ,East Main Station,West,99557
Saturday , S600,3014,600 - 32, 7:35   ,South Bellevue Station,West,99554
Saturday , S600,3020,600 - 32, 8:15   ,Redmond Technology Station,West,99569
Saturday , S600,3020,600 - 32, 8:17   ,Overlake Village Station,West,99567
Saturday , S600,3020,600 - 32, 8:22   ,BelRed Station,West,99565
Saturday , S600,3020,600 - 32, 8:24   ,Spring District Station,West,99563
Saturday , S600,3020,600 - 32, 8:26   ,Wilburton Station,West,99561
Saturday , S600,3020,600 - 32, 8:28   ,Bellevue Downtown Station,West,99559
Saturday , S600,3020,600 - 32, 8:32   ,East Main Station,West,99557
Saturday , S600,3020,600 - 32, 8:35   ,South Bellevue Station,West,99554
Saturday , S600,3026,600 - 32, 9:15   ,Redmond Technology Station,West,99569
Saturday , S600,3026,600 - 32, 9:17   ,Overlake Village Station,West,99567
Saturday , S600,3026,600 - 32, 9:22   ,BelRed Station,West,99565
Saturday , S600,3026,600 - 32, 9:24   ,Spring District Station,West,99563
Saturday , S600,3026,600 - 32, 9:26   ,Wilburton Station,West,99561
Saturday , S600,3026,600 - 32, 9:28   ,Bellevue Downtown Station,West,99559
Saturday , S600,3026,600 - 32, 9:32   ,East Main Station,West,99557
Saturday , S600,3026,600 - 32, 9:35   ,South Bellevue Station,West,99554
Saturday , S600,3032,600 - 32,10:15,Redmond Technology Station,West,99569
Saturday , S600,3032,600 - 32,10:17,Overlake Village Station,West,99567
Saturday , S600,3032,600 - 32,10:22,BelRed Station,West,99565
Saturday , S600,3032,600 - 32,10:24,Spring District Station,West,99563
Saturday , S600,3032,600 - 32,10:26,Wilburton Station,West,99561
Saturday , S600,3032,600 - 32,10:28,Bellevue Downtown Station,West,99559
Saturday , S600,3032,600 - 32,10:32,East Main Station,West,99557
Saturday , S600,3032,600 - 32,10:35,South Bellevue Station,West,99554
Saturday , S600,3038,600 - 32,11:15,Redmond Technology Station,West,99569
Saturday , S600,3038,600 - 32,11:17,Overlake Village Station,West,99567
Saturday , S600,3038,600 - 32,11:22,BelRed Station,West,99565
Saturday , S600,3038,600 - 32,11:24,Spring District Station,West,99563
Saturday , S600,3038,600 - 32,11:26,Wilburton Station,West,99561
Saturday , S600,3038,600 - 32,11:28,Bellevue Downtown Station,West,99559
Saturday , S600,3038,600 - 32,11:32,East Main Station,West,99557
Saturday , S600,3038,600 - 32,11:35,South Bellevue Station,West,99554
Saturday , S600,3044,600 - 32,12:15,Redmond Technology Station,West,99569
Saturday , S600,3044,600 - 32,12:17,Overlake Village Station,West,99567
Saturday , S600,3044,600 - 32,12:22,BelRed Station,West,99565
Saturday , S600,3044,600 - 32,12:24,Spring District Station,West,99563
Saturday , S600,3044,600 - 32,12:26,Wilburton Station,West,99561
Saturday , S600,3044,600 - 32,12:28,Bellevue Downtown Station,West,99559
Saturday , S600,3044,600 - 32,12:32,East Main Station,West,99557
Saturday , S600,3044,600 - 32,12:35,South Bellevue Station,West,99554
Saturday , S600,3050,600 - 32,13:15,Redmond Technology Station,West,99569
Saturday , S600,3050,600 - 32,13:17,Overlake Village Station,West,99567
Saturday , S600,3050,600 - 32,13:22,BelRed Station,West,99565
Saturday , S600,3050,600 - 32,13:24,Spring District Station,West,99563
Saturday , S600,3050,600 - 32,13:26,Wilburton Station,West,99561
Saturday , S600,3050,600 - 32,13:28,Bellevue Downtown Station,West,99559
Saturday , S600,3050,600 - 32,13:32,East Main Station,West,99557
Saturday , S600,3050,600 - 32,13:35,South Bellevue Station,West,99554
Saturday , S600,3056,600 - 32,14:15,Redmond Technology Station,West,99569
Saturday , S600,3056,600 - 32,14:17,Overlake Village Station,West,99567
Saturday , S600,3056,600 - 32,14:22,BelRed Station,West,99565
Saturday , S600,3056,600 - 32,14:24,Spring District Station,West,99563
Saturday , S600,3056,600 - 32,14:26,Wilburton Station,West,99561
Saturday , S600,3056,600 - 32,14:28,Bellevue Downtown Station,West,99559
Saturday , S600,3056,600 - 32,14:32,East Main Station,West,99557
